,0
0,cutaneous_biopsy_breslow
1,cutaneous_biopsy_histological_subtype
2,total_positives_slnb_ldn
3,scenario
4,total_count_slnb_ldn
5,cutaneous_biopsy_ulceration
6,patient_hair_color
7,patient_phototype
8,patient_eye_color
9,age
10,cutaneous_biopsy_mitotic_index
11,patient_gender
12,missNEU
13,LAB1314
14,LAB2405
15,LAB2406
16,visceral_metastasis_location
17,T0_date
18,limfocits_per_monocits
19,LAB1309
20,MC1R
21,neutrofils_per_limfocits
22,missBIO2
23,LAB2679
24,cutaneous_biopsy_regression
25,missLAB
26,LAB2407
27,cutaneous_biopsy_lymphatic_invasion
28,LAB2467
29,cutaneous_biopsy_vascular_invasion
30,LABGF_filtrat_glomerular
31,cutaneous_biopsy_associated_nevus
32,LAB4176
33,LAB2404
34,count_inv_prec_tumour
35,primary_tumour_location_coded
