,0
0,cutaneous_biopsy_breslow
1,cutaneous_biopsy_ulceration
2,total_positives_slnb_ldn
3,total_count_slnb_ldn
4,scenario
5,cutaneous_biopsy_histological_subtype
6,patient_phototype
7,patient_eye_color
8,visceral_metastasis_location
9,age
10,cutaneous_biopsy_mitotic_index
11,patient_hair_color
12,neutrofils_per_limfocits
13,LAB1309
14,LAB2406
15,LAB2679
16,LAB2544
17,limfocits_per_monocits
18,cutaneous_biopsy_satellitosis
19,cutaneous_biopsy_lymphatic_invasion
20,MC1R
21,LAB2469
22,LAB2476
23,LAB2404
24,LAB2467
25,LAB1314
26,LAB2405
27,LAB1313
28,LAB2419
29,LAB1307
30,LAB2422
31,LAB1301
32,cutaneous_biopsy_vascular_invasion
33,primary_tumour_location_coded
34,missBIO2
35,LAB4176
36,T0_date
37,cutaneous_biopsy_regression
38,LAB1311
39,cutaneous_biopsy_neurotropism
40,missNEU
41,LAB1316
42,missBIO
43,cutaneous_biopsy_predominant_cell_type
