,0
0,cutaneous_biopsy_ulceration
1,scenario
2,cutaneous_biopsy_histological_subtype
3,cutaneous_biopsy_breslow
4,total_count_slnb_ldn
5,total_positives_slnb_ldn
6,cutaneous_biopsy_lymphatic_invasion
7,visceral_metastasis_location
8,patient_hair_color
9,cutaneous_biopsy_satellitosis
10,age
11,patient_phototype
12,patient_eye_color
13,cutaneous_biopsy_mitotic_index
14,cutaneous_biopsy_vascular_invasion
15,cutaneous_biopsy_regression
16,MC1R
17,patient_gender
18,missBIO2
19,LAB1307
20,LAB1316
21,limfocits_per_monocits
22,LAB1309
23,T0_date
24,LAB2679
25,LAB2405
26,LAB2476
27,cutaneous_biopsy_neurotropism
28,cutaneous_biopsy_associated_nevus
29,missLAB
30,LAB2467
31,LAB2406
32,primary_tumour_location_coded
33,missNEU
34,LAB4176
35,LABGF_filtrat_glomerular
36,LAB2469
37,LAB2404
38,neutrofils_per_limfocits
39,missBIO
40,LAB1313
41,LAB2544
42,count_inv_prec_tumour
43,LAB2407
44,LAB2422
45,count_situ_prec_tumour
46,LAB1311
47,LAB1301
48,LAB2419
49,LAB1314
50,cutaneous_biopsy_predominant_cell_type
51,LAB2498
