,0
0,cutaneous_biopsy_ulceration
1,scenario
2,cutaneous_biopsy_histological_subtype
3,cutaneous_biopsy_breslow
4,total_count_slnb_ldn
5,visceral_metastasis_location
6,total_positives_slnb_ldn
7,patient_hair_color
8,cutaneous_biopsy_lymphatic_invasion
9,patient_eye_color
10,cutaneous_biopsy_mitotic_index
11,age
12,patient_phototype
13,cutaneous_biopsy_satellitosis
14,MC1R
15,cutaneous_biopsy_vascular_invasion
16,cutaneous_biopsy_regression
17,LAB2419
18,T0_date
19,missBIO2
20,LAB2406
21,LAB1307
22,patient_gender
23,LAB2469
24,LAB2544
25,neutrofils_per_limfocits
26,cutaneous_biopsy_neurotropism
27,LAB2467
28,LAB1309
29,primary_tumour_location_coded
30,LAB2476
31,LAB2679
32,LAB2404
33,cutaneous_biopsy_predominant_cell_type
34,LAB2407
35,LAB1301
36,LAB2498
